# DASYLab - V 12.00.01\n
# Worksheet name: Olympus AlfonsoX\n
# Recording date     : 27/04/2017, 17:47:24\n
# Block length       : 4\n
# Delta              : 0.333333 sec.\n
# Number of channels : 16\n
# Measurement time[s]	P0 [Pa]	P2 [Pa]	P3t [Pa]	P4t [Pa]	P5t [Pa]	P6t [Pa]	T2t [K]	T3t [K]	T4t1 [K]	T4t2 [K]	T5t1 [K]	T5t2 [K]	T8t [K]	Empuje [N]	fuel [kg/s]	aire [kg/s]	/s]	
36.6666666667	93060.4531250	92370.679688	115151.218750	107467.015625	96503.742188	98243.234375	292.772064	318.855957	759.509888	1047.764282	822.129211	889.967163	816.170593	6.861986	0.001965	0.086522	
37.0000000000	93052.2343750	92355.156250	116142.914063	108431.015625	96601.796875	95089.796875	292.789948	322.586395	758.972534	1012.775269	815.036987	873.723206	804.625183	7.259774	0.001986	0.089292	
37.3333333333	93938.1406250	93240.640625	118679.906250	110620.546875	97761.367188	99515.570313	292.729980	323.627991	758.424011	984.758911	803.196655	859.798035	797.822266	8.600554	0.002027	0.095616	
37.6666666667	93094.4765625	92385.726563	118726.820313	110941.843750	96985.890625	98549.382813	292.740143	321.880188	755.645630	966.922607	798.883911	848.797180	788.236938	9.436789	0.002069	0.097043	
38.0000000000	93036.2812500	92288.656250	119506.656250	111685.125000	97008.078125	95102.539063	292.759277	325.785278	753.690552	949.062805	794.585266	840.474915	777.216919	9.915745	0.002075	0.098856	
38.3333333333	93879.1250000	93140.601563	121402.968750	113285.109375	97905.515625	99730.695313	292.722870	326.819824	752.440002	935.043579	787.539001	833.225647	769.148682	11.093441	0.002073	0.100530	
38.6666666667	93137.3984375	92404.703125	121222.210938	113353.046875	97206.132813	98998.570313	292.698273	324.763916	748.027283	926.216492	782.663208	824.345947	762.898682	11.806728	0.002086	0.101519	
39.0000000000	93037.7734375	92275.523438	121386.757813	113350.578125	97251.976563	94886.828125	292.748138	328.362091	743.065796	912.598328	777.921448	817.853027	750.306885	12.089402	0.002083	0.104524	
39.3333333333	93823.5703125	93043.093750	122705.132813	114491.992188	98073.343750	99711.117188	292.714966	329.139008	739.622192	898.593384	770.957764	815.226624	744.603149	12.887962	0.002069	0.105725	
39.6666666667	93187.3281250	92414.757813	121985.125000	113874.617188	97185.257813	98958.867188	292.676239	326.984100	735.657166	894.250366	768.392517	810.635376	742.656006	13.312085	0.002078	0.101121	
40.0000000000	93031.4765625	92267.914063	121657.320313	113654.625000	97085.203125	94478.210938	292.750244	330.121704	731.865234	891.633972	765.646057	807.809814	731.174927	13.212638	0.002079	0.102287	
40.3333333333	93782.5703125	93024.250000	123027.773438	114874.531250	97913.781250	99460.437500	292.719818	330.668335	732.254395	890.794617	761.506958	808.637695	729.924133	13.639297	0.002075	0.104051	
40.6666666667	93214.7187500	92429.031250	122210.445313	114292.218750	97384.062500	98899.460938	292.661285	328.399567	732.975708	888.150269	759.965942	805.261902	728.957520	13.769033	0.002080	0.104757	
41.0000000000	93043.7812500	92307.015625	121764.062500	114017.828125	97351.429688	94372.289063	292.735870	331.161194	730.184998	882.021667	758.564026	801.264343	725.332275	13.610351	0.002084	0.107468	
41.3333333333	93754.9375000	92989.218750	122863.828125	114707.921875	97956.023438	99402.242188	292.703613	331.631226	730.148071	875.324158	754.732300	800.860535	729.496216	13.949202	0.002079	0.105831	
41.6666666667	93233.7500000	92455.914063	122089.937500	114237.359375	97303.304688	98855.437500	292.639954	329.345734	731.793823	876.116760	756.027588	799.112427	724.168152	13.972776	0.002081	0.103241	
42.0000000000	93036.5703125	92256.125000	121557.507813	113815.046875	97212.398438	94076.234375	292.732971	331.878479	729.040344	874.607117	756.731201	795.907715	718.531189	13.690550	0.002083	0.105249	
42.3333333333	93745.6171875	92969.078125	122445.757813	114098.671875	97673.765625	99137.015625	292.712891	332.229218	728.622986	871.287231	755.410156	799.301636	716.901672	13.800442	0.002028	0.100778	
42.6666666667	93227.4531250	92470.742188	118805.835938	110770.132813	96307.742188	97888.320313	292.652985	329.792633	724.687927	863.594849	749.401917	785.633667	700.633972	13.492626	0.001770	0.083650	
